SCENARIO,YEAR,GFA_Bm2,BUILDING_CLASS,EUI_kWh_m2_yr,TOTAL_CONSUMPTION_EJ
data_A1B_2010,2010,21.78600990063776,Residential,196.3572566008195,15.400228090923083
data_A1B_2010,2010,22.0480241285082,Residential,196.3572566008195,15.585442312833159
data_A1B_2010,2010,22.001434640713878,Residential,196.3572566008195,15.552508850398132
data_A1B_2010,2010,22.258584653821366,Residential,196.3572566008195,15.734284626389275
data_A1B_2010,2010,21.942629165717374,Residential,196.3572566008195,15.510940076121813
data_A1B_2010,2010,22.06251114285998,Residential,196.3572566008195,15.595682982253187
data_A1B_2010,2010,22.3521431399276,Residential,196.3572566008195,15.80041982197804
data_A1B_2010,2010,21.978086894022,Residential,196.3572566008195,15.536004652240509
data_A1B_2010,2010,22.078833793161174,Residential,196.3572566008195,15.607221237254137
data_A1B_2010,2010,22.05213006805484,Residential,196.3572566008195,15.58834474452369
data_A1B_2010,2010,21.97004546371118,Residential,196.3572566008195,15.530320276738586
data_A1B_2010,2010,21.827515780766156,Residential,196.3572566008195,15.429568021640415
data_A1B_2010,2010,22.026231216035843,Residential,196.3572566008195,15.57003720541007
data_A1B_2010,2010,21.940864964447655,Residential,196.3572566008195,15.509692986724724
data_A1B_2010,2010,21.980160923820357,Residential,196.3572566008195,15.53747075512524
data_A1B_2010,2010,21.975251673591387,Residential,196.3572566008195,15.534000474260301
data_A1B_2010,2010,22.083698020966896,Residential,196.3572566008195,15.610659692392824
data_A1B_2010,2010,21.91447834746773,Residential,196.3572566008195,15.491040653328566
data_A1B_2010,2010,21.863332763652004,Residential,196.3572566008195,15.454886549837475
data_A1B_2010,2010,22.123377211536695,Residential,196.3572566008195,15.63870836160876
data_A1B_2010,2010,22.183333057201974,Residential,196.3572566008195,15.68109031694802
data_A1B_2010,2010,22.322794565386303,Residential,196.3572566008195,15.779673721882576
data_A1B_2010,2010,22.271022360635968,Residential,196.3572566008195,15.74307666874795
data_A1B_2010,2010,21.879038497425544,Residential,196.3572566008195,15.465988715105507
data_A1B_2010,2010,22.042976413991997,Residential,196.3572566008195,15.58187415348494
data_A1B_2010,2010,22.048601820500643,Residential,196.3572566008195,15.585850675286428
data_A1B_2010,2010,22.135277330700053,Residential,196.3572566008195,15.647120390716465
data_A1B_2010,2010,21.838475696539202,Residential,196.3572566008195,15.437315434017991
data_A1B_2010,2010,21.93188557123268,Residential,196.3572566008195,15.503345578261248
data_A1B_2010,2010,22.12806224072505,Residential,196.3572566008195,15.642020143731434
data_A1B_2010,2010,21.83195379566375,Residential,196.3572566008195,15.432705192788577
data_A1B_2010,2010,22.39526750676718,Residential,196.3572566008195,15.830903838493004
data_A1B_2010,2010,22.30830574704628,Residential,196.3572566008195,15.769431777248291
data_A1B_2010,2010,22.547146077178358,Residential,196.3572566008195,15.938264692413618
data_A1B_2010,2010,22.06024441219869,Residential,196.3572566008195,15.594080661802414
data_A1B_2010,2010,22.03259075743811,Residential,196.3572566008195,15.574532676980828
data_A1B_2010,2010,21.861152954626014,Residential,196.3572566008195,15.45334567308455
data_A1B_2010,2010,22.282890708767948,Residential,196.3572566008195,15.751466239354434
data_A1B_2010,2010,21.86915187783506,Residential,196.3572566008195,15.45900000090607
data_A1B_2010,2010,21.894185919899144,Residential,196.3572566008195,15.476696217862868
data_A1B_2010,2010,22.14778182624234,Residential,196.3572566008195,15.655959645099962
data_A1B_2010,2010,22.108889779025468,Residential,196.3572566008195,15.628467396597621
data_A1B_2010,2010,22.16759425419946,Residential,196.3572566008195,15.669964775500903
data_A1B_2010,2010,21.94124225713404,Residential,196.3572566008195,15.509959689689326
data_A1B_2010,2010,22.35108228408406,Residential,196.3572566008195,15.799669917702929
data_A1B_2010,2010,22.03528438992747,Residential,196.3572566008195,15.576436768410074
data_A1B_2010,2010,22.056127744600204,Residential,196.3572566008195,15.5911706466009
data_A1B_2010,2010,22.287442432028577,Residential,196.3572566008195,15.754683789366581
data_A1B_2010,2010,21.93876598725565,Residential,196.3572566008195,15.508209248873602
data_A1B_2010,2010,22.493869219456595,Residential,196.3572566008195,15.90060402097241
data_A1B_2010,2010,21.94489730277873,Residential,196.3572566008195,15.51254339073728
data_A1B_2010,2010,22.636583362878657,Residential,196.3572566008195,16.00148666862218
data_A1B_2010,2010,22.034267595060726,Residential,196.3572566008195,15.57571801022806
data_A1B_2010,2010,22.084481253437836,Residential,196.3572566008195,15.611213348558213
data_A1B_2010,2010,22.016192799440063,Residential,196.3572566008195,15.562941188013964
data_A1B_2010,2010,21.843802332630695,Residential,196.3572566008195,15.441080759157403
data_A1B_2010,2010,22.255678775499803,Residential,196.3572566008195,15.732230501326418
data_A1B_2010,2010,21.85666753694524,Residential,196.3572566008195,15.45017499356673
data_A1B_2010,2010,22.130862631762927,Residential,196.3572566008195,15.64399970129722
data_A1B_2010,2010,22.476241934275144,Residential,196.3572566008195,15.888143537678031
data_A1B_2010,2010,22.35996883411079,Residential,196.3572566008195,15.80595169660495
data_A1B_2010,2010,22.081916697246925,Residential,196.3572566008195,15.609400499373248
data_A1B_2010,2010,22.595163839757625,Residential,196.3572566008195,15.972207782475047
data_A1B_2010,2010,21.765077622647986,Residential,196.3572566008195,15.385431354073363
data_A1B_2010,2010,22.219895517739207,Residential,196.3572566008195,15.706935812952421
data_A1B_2010,2010,21.75541128884819,Residential,196.3572566008195,15.378598356842627
data_A1B_2010,2010,21.875425960403753,Residential,196.3572566008195,15.463435062813222
data_A1B_2010,2010,22.41787280967387,Residential,196.3572566008195,15.8468832134412
