Model,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
HBLM-USA 1.0,High Impact - 2.5th percentile,USA,Final Energy|Buildings|Commercial|Space,EJ_yr,1.5092191565411626,1.8357044330477024,2.210387844757636,2.5300627778042,2.8986574541005248,3.2773193217706424,3.70651569427576,4.156212842412328,4.681484646650149,5.0173670337698155
HBLM-USA 1.0,High Impact - 2.5th percentile,USA,Final Energy|Buildings|Residential|Space,EJ_yr,2.1088528035782668,2.28058820042586,2.4819065215157945,2.7141095780000977,2.928443922743898,3.1841353820036344,3.4561438025426234,3.7158058508224263,4.010696761369736,4.241891611347232
HBLM-USA 1.0,High Impact - 50th percentile,USA,Final Energy|Buildings|Commercial|Space,EJ_yr,5.063264567573887,6.105967525865054,7.104316245372175,8.197899013146031,9.36704432321169,10.58222694849345,12.11815636297549,13.520715205872133,15.096430711181096,16.318730681588555
HBLM-USA 1.0,High Impact - 50th percentile,USA,Final Energy|Buildings|Residential|Space,EJ_yr,11.169542253436289,12.414975878122501,13.704740490737485,15.143824835808992,16.711885701521034,18.506383146361912,20.44871587753773,22.591083915107077,24.88365023751059,26.446429914329634
HBLM-USA 1.0,High Impact - 97.5th percentile,USA,Final Energy|Buildings|Commercial|Space,EJ_yr,11.997445796269181,14.498074460456571,16.974970505362357,19.591540898857914,22.313061036575107,25.52591479034475,28.84580851394063,32.84335650149846,37.379935403429386,39.95413964638613
HBLM-USA 1.0,High Impact - 97.5th percentile,USA,Final Energy|Buildings|Residential|Space,EJ_yr,31.101584950263693,35.030997200782444,38.29952583140565,41.790898233647354,45.810036738369426,49.95392516050038,54.8513081443654,59.8238077042474,65.1524509267271,69.7250770175743
HBLM-USA 1.0,Low Impact - 2.5th percentile,USA,Final Energy|Buildings|Commercial|Space,EJ_yr,1.5140890219448568,1.7880808800259933,2.1513796475297142,2.486394716273256,2.826622815171508,3.1380608340478435,3.47983898443439,3.808783778032241,4.1762047104442415,4.46415609827435
HBLM-USA 1.0,Low Impact - 2.5th percentile,USA,Final Energy|Buildings|Residential|Space,EJ_yr,2.126110739684397,2.2726629081652416,2.4689862281439807,2.6841132602386764,2.884029422661583,3.101016244227831,3.2897086713155095,3.4863639379336075,3.7134685446185567,3.900906469432396
HBLM-USA 1.0,Low Impact - 50th percentile,USA,Final Energy|Buildings|Commercial|Space,EJ_yr,5.0850851178640815,6.0270348173367285,7.061429257836,8.004177026367774,9.082163767326579,10.208591157245063,11.221679629278734,12.279714348664951,13.39555506689591,14.415863411258314
HBLM-USA 1.0,Low Impact - 50th percentile,USA,Final Energy|Buildings|Residential|Space,EJ_yr,11.208908340134478,12.427370264079446,13.676633052107544,14.833567540695608,16.230532519814957,17.534327514624906,18.95943510548981,20.444737567660376,21.58582515952942,22.898561483388583
HBLM-USA 1.0,Low Impact - 97.5th percentile,USA,Final Energy|Buildings|Commercial|Space,EJ_yr,11.967816298732142,14.508628873990915,16.668934344470582,19.218940176271914,21.781264830477888,24.399568228314468,26.69733431286954,29.262411484230245,31.993994615026626,34.296005555215466
HBLM-USA 1.0,Low Impact - 97.5th percentile,USA,Final Energy|Buildings|Residential|Space,EJ_yr,31.06073401252784,34.71836691038993,37.655880893900104,41.557296849442814,44.907696188407904,48.4079334496131,51.869027874877794,55.35942502984396,58.453960237889596,61.877842857332624
HBLM-USA 1.0,Medium Impact - 2.5th percentile,USA,Final Energy|Buildings|Commercial|Space,EJ_yr,1.5010588891051273,1.8471266172072807,2.1816347816997754,2.5139500540185544,2.933363912912078,3.265454421834068,3.663607369269127,4.059960775645071,4.5323429182777515,4.839921689744738
HBLM-USA 1.0,Medium Impact - 2.5th percentile,USA,Final Energy|Buildings|Residential|Space,EJ_yr,2.1149774954331244,2.267478461875734,2.4749454708762997,2.71136431918579,2.9238429610780363,3.1384419461804165,3.3749112375957555,3.5986957725388504,3.88759506927625,4.0721611060478535
HBLM-USA 1.0,Medium Impact - 50th percentile,USA,Final Energy|Buildings|Commercial|Space,EJ_yr,5.0450397892012955,6.078997273960701,7.111994809888535,8.22798426663837,9.40999422586627,10.611149744942075,11.795685178835285,13.117912557470014,14.509045337701398,15.59230677014857
HBLM-USA 1.0,Medium Impact - 50th percentile,USA,Final Energy|Buildings|Residential|Space,EJ_yr,11.179592406350835,12.380891141537756,13.724663498888862,15.241426254962441,16.850016241322095,18.583576291975568,20.076189519716603,21.97698286244809,23.769199709029348,25.075387313435318
HBLM-USA 1.0,Medium Impact - 97.5th percentile,USA,Final Energy|Buildings|Commercial|Space,EJ_yr,12.007896262476786,14.226839702602732,17.033957115489333,19.671762640105115,22.424912275551087,25.465022053254966,28.376578054043232,31.745156848828092,34.755847686617834,37.832942565275204
HBLM-USA 1.0,Medium Impact - 97.5th percentile,USA,Final Energy|Buildings|Residential|Space,EJ_yr,31.078220949380693,34.41816586067899,38.46136839736546,41.64749363090049,45.75013585845576,49.681249137539865,53.48168090538533,58.187544287172095,62.2042226311885,65.8081173643146
